State,City,Pop,PCI,price,rating,review,Price perc
ia,shelby,616,50283,1.4285714285714286,3.5714285714285716,13.5,0.5
ia,jefferson,4148,37397,1.1666666666666667,4.25,4.333333333333333,0.6
ia,pocahontas,1663,51035,2.0,3.6666666666666665,2.3333333333333335,0.42857142857142855
ia,osceola,5193,57030,1.2,2.75,17.9,0.7692307692307693
ia,monroe,1874,38175,1.5,3.9642857142857144,22.142857142857142,0.4117647058823529
ia,monona,1477,43238,1.25,4.5,6.0,0.4444444444444444
ia,mitchell,131,57565,1.5,3.8125,6.625,0.6666666666666666
ia,marshall,27068,38463,1.5,4.125,21.1875,0.3018867924528302
ia,marion,39979,40851,1.5443037974683544,3.411392405063291,38.18987341772152,0.2581699346405229
ia,lucas,209,37890,1.5555555555555556,4.055555555555555,24.555555555555557,0.16666666666666666
ia,plymouth,363,52006,1.5806451612903225,4.193548387096774,22.870967741935484,0.26495726495726496
ia,adair,704,45386,1.0,3.75,22.5,0.8
id,boise,228790,36229,1.6381909547738693,3.798994974874372,120.76884422110552,0.21374865735767992
id,twin falls,49764,35300,1.5333333333333334,3.466666666666667,65.64444444444445,0.31690140845070425
id,jerome,11807,37126,1.3,4.05,14.5,0.3333333333333333
id,payette,7527,35582,1.4285714285714286,4.178571428571429,39.42857142857143,0.1917808219178082
id,gooding,3473,58373,1.3333333333333333,4.166666666666667,7.333333333333333,0.6
id,franklin,828,32130,1.25,2.75,9.75,0.4
id,shoshone,1511,33851,1.4,3.561111111111111,33.48888888888889,0.2631578947368421
id,teton,733,31214,1.4137931034482758,3.603448275862069,57.96551724137931,0.28431372549019607
id,kootenai,922,38416,1.6,4.2,45.0,1.0
id,minidoka,113,35533,1.4,3.9,45.1,0.13513513513513514
il,scott,1235,37014,1.4,3.8,16.4,0.45454545454545453
il,franklin,2473,34652,1.4174757281553398,3.2184466019417477,41.8252427184466,0.2968299711815562
il,union,677,37679,1.5714285714285714,3.892857142857143,41.285714285714285,0.5185185185185185
il,montgomery,637,33349,1.3936170212765957,3.4095744680851063,51.59574468085106,0.31756756756756754
il,morgan,345,36602,1.6363636363636365,3.772727272727273,20.90909090909091,0.2619047619047619
il,lake,941,68199,1.824468085106383,4.2313829787234045,501.20212765957444,0.012207792207792207
il,wabash,2152,41797,1.2222222222222223,3.388888888888889,5.666666666666667,0.6428571428571429
il,champaign,88029,42659,1.4186046511627908,3.3410852713178296,84.32558139534883,0.33161953727506427
il,clinton,6927,42048,1.0714285714285714,3.3214285714285716,10.928571428571429,0.5833333333333334
il,dekalb,42611,35809,1.4081632653061225,3.4489795918367347,53.16326530612245,0.3712121212121212
il,effingham,12627,43646,1.5,4.107142857142857,106.85714285714286,0.22950819672131148
il,fulton,3346,33854,1.3571428571428572,4.0,26.857142857142858,0.21212121212121213
il,hamilton,2740,41048,1.2857142857142858,4.142857142857143,19.142857142857142,0.5
il,henry,2232,42246,1.2,2.7,4.8,0.7142857142857143
il,johnson,644,30786,1.0,3.5714285714285716,14.857142857142858,0.7777777777777778
il,kankakee,26052,36138,1.3035714285714286,3.4375,32.07142857142857,0.39436619718309857
il,mchenry,27022,48027,1.5714285714285714,3.4489795918367347,73.79591836734694,0.3161290322580645
il,macon,1120,44811,1.3492063492063493,3.3095238095238093,14.73015873015873,0.25
il,madison,3794,40943,1.7329545454545454,4.125,231.86363636363637,0.09777777777777778
il,douglas,157,45461,1.5792349726775956,3.557377049180328,257.3333333333333,0.29093799682034976
il,marshall,3843,42080,1.0769230769230769,3.3461538461538463,6.923076923076923,0.6842105263157895
il,mason,335,38936,1.2903225806451613,3.8870967741935485,45.38709677419355,0.34065934065934067
il,peoria,111388,46148,1.4565217391304348,3.4057971014492754,43.61594202898551,0.2732673267326733
il,rock island,37678,39842,1.4065040650406504,3.475609756097561,38.83739837398374,0.30073349633251834
il,washington,16704,46128,1.5,3.857142857142857,24.214285714285715,0.2222222222222222
il,boone,1934,40608,1.411764705882353,4.0588235294117645,28.352941176470587,0.2463768115942029
il,lee,308,37889,1.0,4.0,8.5,0.5714285714285714
il,bureau,233,39270,1.3333333333333333,4.666666666666667,9.333333333333334,0.6
il,brown,2054,29522,1.25,4.125,10.25,0.4444444444444444
il,lasalle,9064,39378,1.5434782608695652,3.7065217391304346,45.84782608695652,0.33093525179856115
il,marion,17620,38112,1.4193548387096775,3.467741935483871,34.38709677419355,0.33695652173913043
il,wayne,66483,40354,1.676923076923077,3.9512820512820515,183.25128205128206,0.13
il,winnebago,5098,38275,1.2,2.8,12.0,0.8333333333333334
il,richland,363,39787,1.4615384615384615,3.9615384615384617,10.23076923076923,0.48148148148148145
il,adams,1567,40921,1.4,3.05,19.2,0.8333333333333334
il,knox,4794,36417,1.3846153846153846,3.423076923076923,11.76923076923077,0.7647058823529411
il,de witt,461,48628,1.3271028037383177,3.364485981308411,30.046728971962615,0.327217125382263
il,kendall,8946,43074,1.6129032258064515,3.629032258064516,66.74193548387096,0.3229166666666667
il,warren,1479,36696,1.6363636363636365,3.9545454545454546,22.0,0.4782608695652174
