,GeoName,TimePeriod,DataValue
622,"Brown, IL",2014,"29,522"
623,"Bureau, IL",2014,"39,270"
624,"Calhoun, IL",2014,"35,751"
625,"Carroll, IL",2014,"40,981"
626,"Cass, IL",2014,"38,103"
627,"Champaign, IL",2014,"42,659"
628,"Christian, IL",2014,"37,785"
629,"Clark, IL",2014,"38,006"
630,"Clay, IL",2014,"36,066"
631,"Clinton, IL",2014,"42,048"
632,"Coles, IL",2014,"37,129"
633,"Cook, IL",2014,"53,586"
634,"Crawford, IL",2014,"45,554"
635,"Cumberland, IL",2014,"39,695"
636,"DeKalb, IL",2014,"35,809"
637,"De Witt, IL",2014,"48,628"
638,"Douglas, IL",2014,"45,461"
639,"DuPage, IL",2014,"62,141"
640,"Edgar, IL",2014,"37,073"
641,"Edwards, IL",2014,"37,951"
642,"Effingham, IL",2014,"43,646"
643,"Fayette, IL",2014,"31,527"
644,"Ford, IL",2014,"50,913"
645,"Franklin, IL",2014,"34,652"
646,"Fulton, IL",2014,"33,854"
647,"Gallatin, IL",2014,"43,014"
648,"Greene, IL",2014,"34,501"
649,"Grundy, IL",2014,"50,173"
650,"Hamilton, IL",2014,"41,048"
651,"Hancock, IL",2014,"42,145"
652,"Hardin, IL",2014,"34,034"
653,"Henderson, IL",2014,"39,188"
654,"Henry, IL",2014,"42,246"
655,"Iroquois, IL",2014,"40,167"
656,"Jackson, IL",2014,"33,046"
657,"Jasper, IL",2014,"42,512"
658,"Jefferson, IL",2014,"35,726"
659,"Jersey, IL",2014,"36,597"
660,"Jo Daviess, IL",2014,"43,853"
661,"Johnson, IL",2014,"30,786"
662,"Kane, IL",2014,"44,432"
663,"Kankakee, IL",2014,"36,138"
664,"Kendall, IL",2014,"43,074"
665,"Knox, IL",2014,"36,417"
666,"Lake, IL",2014,"68,199"
667,"LaSalle, IL",2014,"39,378"
668,"Lawrence, IL",2014,"32,979"
669,"Lee, IL",2014,"37,889"
